iteration,noise_stddev,level
595,52.223,0
596,52.206,0
597,52.198,0
598,52.210,0
599,52.212,0
600,52.198,0
601,52.209,0
602,52.206,0
603,52.207,0
604,52.208,0
605,52.224,0
606,52.210,0
607,52.216,0
608,52.200,0
609,52.209,0
610,52.206,0
611,52.199,0
612,52.204,0
613,52.205,0
614,52.206,0
615,52.206,0
616,52.208,0
617,52.202,0
618,52.209,0
619,52.208,0
620,52.199,0
621,52.211,0
622,52.205,0
623,52.202,0
624,52.214,0
625,52.220,0
626,52.208,0
627,52.213,0
628,52.202,0
629,52.209,0
630,52.204,0
631,52.200,0
632,52.194,0
633,52.206,0
634,52.213,0
635,52.203,0
636,52.202,0
637,52.208,0
638,52.203,0
639,52.217,0
640,52.205,0
641,52.216,0
642,52.201,0
643,52.195,0
644,52.216,0
645,52.210,0
646,52.227,0
647,52.211,0
648,52.222,0
649,52.211,0
650,52.211,0
651,52.205,0
652,52.207,0
653,52.199,0
654,52.210,0
655,52.212,0
656,52.197,0
657,52.210,0
658,52.196,0
659,52.214,0
660,52.213,0
661,52.208,0
662,52.207,0
663,52.221,0
664,52.207,0
665,52.206,0
666,52.211,0
667,52.213,0
668,52.207,0
669,52.206,0
670,52.210,0
671,52.206,0
672,52.201,0
673,52.212,0
674,52.209,0
675,52.200,0
676,52.202,0
677,52.213,0
678,52.196,0
679,52.221,0
680,52.212,0
681,52.202,0
682,52.212,0
683,52.213,0
684,52.211,0
685,52.220,0
686,52.189,0
687,52.203,0
688,52.207,0
689,52.214,0
690,52.208,0
691,52.199,0
692,52.199,0
693,52.209,0
694,52.209,0
695,52.202,0
696,52.213,0
697,52.200,0
698,52.203,0
699,52.220,0
700,52.213,0
701,52.205,0
702,52.202,0
703,52.199,0
704,52.205,0
705,52.205,0
706,52.203,0
707,52.203,0
708,52.201,0
709,52.215,0
710,52.210,0
711,52.223,0
712,52.196,0
713,52.207,0
714,52.208,0
715,52.208,0
716,52.218,0
717,52.206,0
718,52.211,0
719,52.211,0
720,52.202,0
721,52.200,0
722,52.216,0
723,52.206,0
724,52.208,0
725,52.195,0
726,52.207,0
727,52.214,0
728,52.200,0
729,52.211,0
730,52.209,0
731,52.207,0
732,52.206,0
733,52.208,0
734,52.209,0
735,52.210,0
736,52.199,0
737,52.219,0
738,52.203,0
739,52.203,0
740,52.206,0
741,52.205,0
742,52.199,0
743,52.216,0
744,52.217,0
745,52.209,0
746,52.192,0
747,52.196,0
748,52.203,0
749,52.199,0
750,52.201,0
751,52.207,0
752,52.217,0
753,52.206,0
754,52.199,0
755,52.208,0
756,52.212,0
757,52.199,0
758,52.216,0
759,52.211,0
760,52.208,0
761,52.207,0
762,52.221,0
763,52.203,0
764,52.213,0
765,52.209,0
766,52.213,0
767,52.233,0
768,52.196,0
769,52.200,0
770,52.216,0
771,52.198,0
772,52.205,0
773,52.205,0
774,52.201,0
775,52.213,0
776,52.216,0
777,52.204,0
778,52.214,0
779,52.212,0
780,52.206,0
781,52.200,0
782,52.208,0
783,52.204,0
784,52.221,0
785,52.214,0
786,52.215,0
787,52.214,0
788,52.208,0
789,52.217,0
790,52.215,0
791,52.222,0
792,52.204,0
793,52.202,0
794,52.206,0
795,52.203,0
796,52.211,0
797,52.201,0
798,52.218,0
799,52.216,0
800,52.197,0
801,52.206,0
802,52.197,0
803,52.215,0
804,52.213,0
805,52.207,0
806,52.205,0
807,52.219,0
808,52.216,0
809,52.222,0
810,52.209,0
811,52.201,0
812,52.206,0
813,52.199,0
814,52.209,0
815,52.215,0
816,52.207,0
817,52.205,0
818,52.213,0
819,52.199,0
820,52.205,0
821,52.212,0
822,52.212,0
823,52.210,0
824,52.198,0
825,52.209,0
826,52.208,0
827,52.206,0
828,52.200,0
829,52.204,0
830,52.199,0
831,52.204,0
832,52.204,0
833,52.211,0
834,52.204,0
835,52.202,0
836,52.210,0
837,52.209,0
838,52.209,0
839,52.204,0
840,52.210,0
841,52.212,0
842,52.215,0
843,52.210,0
844,52.209,0
845,52.210,0
846,52.213,0
847,52.196,0
848,52.209,0
849,52.197,0
850,52.209,0
851,52.213,0
852,52.203,0
853,52.213,0
854,52.218,0
855,52.214,0
856,52.205,0
857,52.219,0
858,52.219,0
859,52.199,0
860,52.210,0
861,52.204,0
862,52.202,0
863,52.195,0
864,52.198,0
865,52.214,0
866,52.216,0
867,52.213,0
868,52.208,0
869,52.206,0
870,52.215,0
871,52.219,0
872,52.206,0
873,52.203,0
874,52.187,0
875,52.202,0
876,52.197,0
877,52.203,0
878,52.220,0
879,52.203,0
880,52.201,0
881,52.214,0
882,52.208,0
883,52.194,0
884,52.205,0
885,52.202,0
886,52.199,0
887,52.209,0
888,52.211,0
889,52.212,0
890,52.210,0
891,52.199,0
892,52.205,0
893,52.197,0
894,52.209,0
895,52.198,0
896,52.206,0
897,52.204,0
898,52.217,0
899,52.222,0
900,52.203,0
901,52.202,0
902,52.216,0
903,52.207,0
904,52.197,0
905,52.217,0
906,52.216,0
907,52.189,0
908,52.206,0
909,52.203,0
910,52.192,0
911,52.213,0
912,52.203,0
913,52.222,0
914,52.210,0
915,52.210,0
916,52.210,0
917,52.208,0
918,52.216,0
919,52.205,0
920,52.202,0
921,52.207,0
922,52.210,0
923,52.210,0
924,52.188,0
925,52.201,0
926,52.209,0
927,52.211,0
928,52.206,0
929,52.206,0
930,52.210,0
931,52.204,0
932,52.202,0
933,52.216,0
934,52.206,0
935,52.215,0
936,52.211,0
937,52.210,0
938,52.213,0
939,52.210,0
940,52.207,0
941,52.207,0
942,52.200,0
943,52.216,0
944,52.211,0
945,52.217,0
946,52.208,0
947,52.201,0
948,52.212,0
949,52.205,0
950,52.212,0
951,52.206,0
952,52.212,0
953,52.211,0
954,52.202,0
955,52.212,0
956,52.210,0
957,52.212,0
958,52.199,0
959,52.208,0
960,52.207,0
961,52.213,0
962,52.207,0
963,52.218,0
964,52.217,0
965,52.199,0
966,52.225,0
967,52.204,0
968,52.197,0
969,52.193,0
970,52.220,0
971,52.206,0
972,52.203,0
973,52.208,0
974,52.207,0
975,52.207,0
976,52.218,0
977,52.206,0
978,52.205,0
979,52.204,0
980,52.214,0
981,52.188,0
982,52.205,0
983,52.192,0
984,52.204,0
985,52.198,0
986,52.205,0
987,52.205,0
988,52.201,0
989,52.201,0
990,52.215,0
991,52.191,0
992,52.216,0
993,52.210,0
994,52.210,0
995,52.212,0
996,52.216,0
997,52.215,0
998,52.219,0
999,52.205,0
